ID,Goal Area,Subsection,Task,Priority,Owner,Status,Notes,Original Sheet Status,Coordinator Status,Proof Level,Proof Notes,Remaining Blocker,Last Reviewed
97,2. Class Management,Class Editing,Edit block,Must Build First,,Needs Attention,"Is not linked to the actual fields is only text, we need to ensure the edits are also linked to the schedule functions not just text",Needs Attention,Needs Attention,coded/evidence indicated; proof incomplete,Class fields/lifecycle coded; browser/owner review still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
98,2. Class Management,Class Editing,Edit room / location,Must Build First,,Needs Attention,Add Field,Needs Attention,Needs Attention,coded/evidence indicated; proof incomplete,Class fields/lifecycle coded; browser/owner review still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
99,2. Class Management,Class Editing,Edit age limits,Must Build First,,Needs Attention,For enreichment only for what classes a parent can see for their child. So they don’t see everything,Needs Attention,Needs Attention,coded/evidence indicated; proof incomplete,Class fields/lifecycle coded; browser/owner review still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
100,2. Class Management,Class Editing,Edit dates / term,Must Build First,,Needs Attention,"Is not linked to the actual fields is only text, we need to ensure the edits are also linked to the schedule functions not just text",Needs Attention,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass. Class fields/lifecycle coded; browser/owner review still needed.",,2026-06-18
101,2. Class Management,Class Status,Activate class,Must Build First,,Needs Attention,,Needs Attention,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass. Class fields/lifecycle coded; browser/owner review still needed.",,2026-06-18
102,2. Class Management,Class Status,Deactivate class,Must Build First,,Needs Attention,,Needs Attention,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass. Class fields/lifecycle coded; browser/owner review still needed.",,2026-06-18
103,3. Capacity & Availability,Capacity Rules,Disable or hide full classes for parents,Must Build First,,Needs Attention,Mark as active or incative capability for management of class visability during class adjustments,Needs Attention,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass. Class fields/lifecycle coded; browser/owner review still needed.",,2026-06-18
104,3. Capacity & Availability,Seat Reservation,Approved requests permanently reserve capacity,Must Build First,,Needs Attention,"When attempting to edit a Student enrollment in Class view received following error ""Pending class workflow must be created as a class request, not an enrollment""",Needs Attention,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass.",,2026-06-18
105,3. Capacity & Availability,Age Limits,Set minimum age,Must Build First,,Needs Attention,,Needs Attention,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass.",,2026-06-18
106,3. Capacity & Availability,Age Limits,Set maximum age,Must Build First,,Needs Attention,,Needs Attention,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass.",,2026-06-18
107,3. Capacity & Availability,Age Limits,Block requests outside the age range,Must Build First,,Needs Attention,,Needs Attention,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass.",,2026-06-18
108,3. Capacity & Availability,Age Limits,Admin can override age rule if needed,Must Build First,,Needs Attention,,Needs Attention,Needs Attention,coded/evidence indicated; proof incomplete,Admin age override coded; browser UX proof still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
109,4. Core Academic Scheduling,Core Assignment,Assign core classes by block,Must Build First,,Needs Attention,Core classes can be assigned to any block. They are not always the first two blocks. The core blocks are tied to the Group Level.,Needs Attention,Needs Attention,coded/evidence indicated; proof incomplete,Core assignment/group-block-level mapping proof exists; production UAT still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
110,4. Core Academic Scheduling,Core Assignment,Assign core classes by group,Must Build First,,Needs Attention,Core classes can be assigned to any block. They are not always the first two blocks. The core blocks are tied to the Group Level.,Needs Attention,Needs Attention,coded/evidence indicated; proof incomplete,Core assignment/group-block-level mapping proof exists; production UAT still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
111,4. Core Academic Scheduling,Core Assignment,Assign core classes by level,Must Build First,,Needs Attention,Core classes can be assigned to any block. They are not always the first two blocks. The core blocks are tied to the Group Level.,Needs Attention,Needs Attention,coded/evidence indicated; proof incomplete,Core assignment/group-block-level mapping proof exists; production UAT still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
112,6. Enrichment Requests,Request Statuses,Status: Finalized,Must Build First,,Needs Attention,"One thing that caught my eye is I ententionally approved two requests for the same student on the same block with the mass approval option and noticed their was no flags or items set aside for schedule conflict. So, we need to have a way to flag and review conflicts before they are approved. ",Needs Attention,Needs Attention,coded/evidence indicated; proof incomplete,Core assignment/group-block-level mapping proof exists; production UAT still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
113,7. Admin Enrichment Approval,Approval Dashboard,Filter by student,Must Build First,,Needs Attention,"You should be able to just click approve, reject under schedule view by student (currently the only option is edit with a dropdown of classes. a simple approval by checking is would be more time efficent.",Needs Attention,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass.",,2026-06-18
114,7. Admin Enrichment Approval,Approval Dashboard,Filter by teacher,Must Build First,,Needs Attention,Instead of a column Option replace with teacher: have a sort by teacher ability ,Needs Attention,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass.",,2026-06-18
115,7. Admin Enrichment Approval,Approval Dashboard,Filter by block,Must Build First,,Needs Attention,Sort by block is funny because the information in that feild is mixed information,Needs Attention,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass.",,2026-06-18
116,7. Admin Enrichment Approval,Approval Context,See student's full schedule during approval,Must Build First,,Needs Attention,"In enrichment request, have the ability to click a student or class directly from the enrichment request list and be directed to that students schedule view or that course ",Needs Attention,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass.",,2026-06-18
117,7. Admin Enrichment Approval,Approval Context,See class roster during approval,Must Build First,,Needs Attention,"In enrichment request, have the ability to click a student or class directly from the enrichment request list and be directed to that students schedule view or that course ",Needs Attention,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass.",,2026-06-18
118,8. Schedule Oversight,Admin Schedule View,Identify conflicts,Must Build First,,Needs Attention,"***Important issue**One thing that caught my eye is I ententionally approved two requests for the same student on the same block with the mass approval option and noticed their was no flags or items set aside for schedule conflict. So, we need to have a way to flag and review conflicts before they are approved. When looking at a teachers schedule, I noticed there are master teacher schedule conflicts that the system doesn't flag. A teacher can not be assigned multiple courses without an approval override. and every class that has a conflict schedule should be recored somewhere like marked administrative approval override. ",Needs Attention,Needs Attention,coded/evidence indicated; proof incomplete,Teacher conflict diagnostics and override records coded; browser/live proof still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
119,8. Schedule Oversight,Admin Schedule View,"Filter schedules by student, class, teacher, block, or status",Must Build First,,Needs Attention,By Teacher,Needs Attention,Needs Attention,coded/evidence indicated; proof incomplete,Schedule filtering coded; browser UAT still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
120,1. User Roles & Permissions,Admin / Microschool Leader,Admin can log in securely,Must Build First,,In Progress,,In Progress,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass.",,2026-06-18
121,1. User Roles & Permissions,Parent / Guardian,Parent can browse enrichment options,Must Build First,,In Progress,,In Progress,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass.",,2026-06-18
122,1. User Roles & Permissions,Parent / Guardian,Parent can submit enrichment requests,Must Build First,,In Progress,,In Progress,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass.",,2026-06-18
123,1. User Roles & Permissions,System Rules,Role-based access control is enforced,Must Build First,,In Progress,,In Progress,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
124,1. User Roles & Permissions,Admin / Microschool Leader,Admin can view all students,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
125,1. User Roles & Permissions,Admin / Microschool Leader,Admin can view all classes,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
126,1. User Roles & Permissions,Admin / Microschool Leader,Admin can assign core academic classes,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
127,1. User Roles & Permissions,Admin / Microschool Leader,"Admin can approve, reject, or waitlist enrichment requests",Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
128,1. User Roles & Permissions,Parent / Guardian,Parent can log in securely,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
129,1. User Roles & Permissions,Parent / Guardian,Parent can only view their own child/children,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
130,1. User Roles & Permissions,Parent / Guardian,Parent can view full schedule,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
131,1. User Roles & Permissions,Parent / Guardian,Parent cannot edit core academic placements,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
132,1. User Roles & Permissions,System Rules,Admin-only functions are hidden from parents,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
133,1. User Roles & Permissions,System Rules,Core academic classes are locked from parent editing,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
134,1. User Roles & Permissions,System Rules,Parent visibility is limited to assigned student records,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
135,2. Class Management,Class Creation,Select class type: Core or Enrichment,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
136,2. Class Management,Class Creation,Enter class title,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
137,2. Class Management,Class Creation,Enter class description,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
138,2. Class Management,Class Creation,Assign block,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
139,2. Class Management,Class Creation,Set capacity,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
140,2. Class Management,Class Editing,Edit title,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
141,2. Class Management,Class Editing,Edit capacity,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
142,2. Class Management,Class Editing,Edit description,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
143,2. Class Management,Class View,View approved students,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
144,2. Class Management,Class View,View pending requests,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
145,2. Class Management,Class View,View waitlisted students,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
146,2. Class Management,Class View,View capacity,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
147,2. Class Management,Class View,View remaining seats,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
148,2. Class Management,Class View,Access registration requests from class view,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
149,3. Capacity & Availability,Capacity Rules,Store max capacity per class,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
150,3. Capacity & Availability,Capacity Rules,Count approved students,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
151,3. Capacity & Availability,Capacity Rules,Count pending requests,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
152,3. Capacity & Availability,Capacity Rules,Calculate remaining seats,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
153,3. Capacity & Availability,Capacity Rules,Prevent overbooking,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
154,3. Capacity & Availability,Seat Reservation,Rejected requests release capacity,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
155,3. Capacity & Availability,Seat Reservation,Waitlisted students do not count as approved seats unless promoted,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
156,4. Core Academic Scheduling,Parent Visibility,Core classes appear on parent schedule,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
157,4. Core Academic Scheduling,Parent Visibility,Core classes are clearly labeled,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
158,4. Core Academic Scheduling,Parent Visibility,Core classes are read-only for parents,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
159,4. Core Academic Scheduling,Parent Visibility,"Parent cannot remove, edit, or replace core classes",Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
160,5. Enrichment Discovery,Parent Browsing,Browse by block,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
161,5. Enrichment Discovery,Parent Browsing,Browse by category,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
162,5. Enrichment Discovery,Parent Browsing,See class title,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
163,5. Enrichment Discovery,Parent Browsing,See class description,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
164,5. Enrichment Discovery,Parent Browsing,See teacher,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
165,5. Enrichment Discovery,Parent Browsing,See available seats,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
166,5. Enrichment Discovery,Parent Browsing,See waitlist status,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
167,5. Enrichment Discovery,Parent Browsing,Cannot select unavailable classes,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
168,6. Enrichment Requests,Parent Request Flow,Select 1st choice per block,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
169,6. Enrichment Requests,Parent Request Flow,Select 2nd choice per block,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
170,6. Enrichment Requests,Parent Request Flow,Submit enrichment request,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
171,6. Enrichment Requests,Parent Request Flow,Temporarily reserve capacity,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
172,6. Enrichment Requests,Parent Request Flow,Request status becomes pending after submission,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
173,6. Enrichment Requests,Request Statuses,Status: Pending,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
174,6. Enrichment Requests,Request Statuses,Status: Approved,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
175,6. Enrichment Requests,Request Statuses,Status: Rejected,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
176,6. Enrichment Requests,Request Statuses,Status: Waitlisted,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
177,7. Admin Enrichment Approval,Approval Dashboard,View all pending requests,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
178,7. Admin Enrichment Approval,Approval Dashboard,Filter by class,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
179,7. Admin Enrichment Approval,Approval Dashboard,Filter by request status,Must Build First,,Done,Under Enrichment Review the functions work perfectly,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
180,7. Admin Enrichment Approval,Approval Dashboard,View request timestamp,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
181,7. Admin Enrichment Approval,Approval Context,See approved students,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
182,7. Admin Enrichment Approval,Approval Context,See pending students,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
183,7. Admin Enrichment Approval,Approval Context,See waitlisted students,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
184,7. Admin Enrichment Approval,Approval Context,See remaining seats,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
185,7. Admin Enrichment Approval,Approval Context,Review social / class balance before approval,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
186,7. Admin Enrichment Approval,Approval Actions,Approve request,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
187,7. Admin Enrichment Approval,Approval Actions,Reject request,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
188,7. Admin Enrichment Approval,Approval Actions,Waitlist request,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
189,7. Admin Enrichment Approval,Approval Actions,Add rejection reason,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
190,7. Admin Enrichment Approval,Approval Actions,Approved classes appear on student schedule immediately,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
191,8. Schedule Oversight,Admin Schedule View,View all 4 blocks for each student,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
192,8. Schedule Oversight,Admin Schedule View,Clearly see core vs enrichment,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
193,8. Schedule Oversight,Admin Schedule View,"See pending, approved, rejected, or waitlisted status",Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
194,8. Schedule Oversight,Admin Schedule View,Identify empty blocks,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
195,8. Schedule Oversight,Schedule State,Parents can see whether schedule is complete or still pending,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
196,9. Conflict Prevention,System Conflict Rules,One student cannot be in more than one class in the same block,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
197,12. Parent Schedule View,Parent Dashboard,View full daily schedule,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
198,12. Parent Schedule View,Parent Dashboard,See all 4 blocks on one screen,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
199,12. Parent Schedule View,Parent Dashboard,See class name,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
200,12. Parent Schedule View,Parent Dashboard,See teacher,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
201,12. Parent Schedule View,Parent Dashboard,See class type,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
202,12. Parent Schedule View,Parent Dashboard,See approval status,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
203,12. Parent Schedule View,Parent Dashboard,See finalized schedule,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
204,12. Parent Schedule View,Parent Dashboard,Print schedule,Must Build First,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
205,7. Admin Enrichment Approval,Approval Actions,Bulk approve requests,Build Next,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
206,7. Admin Enrichment Approval,Approval Actions,Bulk reject requests,Build Next,,Done,,Done,Done,accepted tracker status,Original live tracker row was already Done; carried forward in local reconciliation.,,2026-06-18
